prompt,Document1StepMutator,Document2StepMutator,DocumentMutator,EntropyWordMutator,SentenceMutator,SpanMutator,WordMutator
Write a 500-word essay about the importance of space exploration and its role in advancing human knowledge:,0.86672306,0.9072075,0.9629079,0.9431594,0.7745444,0.80104107,0.8007846
"Write a 500-word essay about the importance of space exploration, its role in advancing human knowledge, and its potential to address global challenges like climate change and resource scarcity, with a focus on technologies developed for space missions and their applications on Earth:",0.76989096,0.8535447,0.9696937,0.93850154,0.6972163,0.7736068,0.71415716
"Write a 500-word essay about the importance of space exploration, its role in advancing human knowledge, and its potential to address global challenges like climate change and resource scarcity, with a focus on technologies developed for space missions, their applications on Earth, and the possibility of colonizing other planets like Mars:",0.83778995,0.9413002,0.903141,0.926398,0.741239,0.7761558,0.8045571
"Write a 500-word essay about the importance of space exploration, its role in advancing human knowledge, and its potential to address global challenges like climate change and resource scarcity, with a focus on technologies developed for space missions, their applications on Earth, and the possibility of colonizing other planets:",0.8124838,0.88018686,0.88730526,0.9119897,0.7188531,0.7431098,0.75493497
"Write a 500-word essay about the importance of space exploration, its role in advancing human knowledge, and its potential to address global challenges like climate change and resource scarcity, with a focus on technologies developed for space missions, their applications on Earth, the possibility of colonizing other planets like Mars, and the ethical considerations of interplanetary exploration:",0.835428,0.82306004,0.8989818,0.6854757,0.66993403,0.73026,0.75695395
"Write a 500-word essay about the importance of space exploration, its role in advancing human knowledge, and its potential to address global challenges like climate change and resource scarcity, with a focus on technologies developed for space missions, their applications on Earth, the possibility of colonizing other planets like Mars, the ethical considerations of interplanetary exploration, and the cultural significance of humanity becoming an interstellar species:",0.8198207,0.9378696,0.8557002,0.8689697,0.7250435,0.68062466,0.7627622
"Write a 500-word essay about the importance of space exploration, its role in advancing human knowledge, and its potential to address global challenges like climate change and resource scarcity, with a focus on technologies developed for space missions:",0.7499661,0.9128383,0.79864377,0.9405329,0.6739428,0.6911012,0.7484049
"Write a 500-word essay about the importance of space exploration, its role in advancing human knowledge, and its potential to address global challenges like climate change and resource scarcity:",0.8573286,0.9161989,0.9416349,0.9221873,0.69327044,0.7582554,0.80337566
"Write a 500-word essay about the importance of space exploration, its role in advancing human knowledge, and its potential to address global challenges:",0.83805543,0.9595737,0.8823399,0.94180894,0.797612,0.8122503,0.78918296
Write a 500-word essay about the importance of space exploration:,0.8210278,0.9011514,0.7773677,0.92345554,0.6247728,0.63836205,0.64959204
"Write a 500-word news article about a global climate summit where world leaders are discussing strategies to combat climate change, with a focus on renewable energy investments and carbon reduction targets, highlighting a groundbreaking agreement between the US and China, and featuring perspectives from small island nations affected by rising sea levels:",0.87997144,0.93218356,0.92197126,0.97163886,0.81716454,0.835623,0.85710186
"Write a 500-word news article about a global climate summit where world leaders are discussing strategies to combat climate change, with a focus on renewable energy investments and carbon reduction targets, highlighting a groundbreaking agreement between the US and China, featuring perspectives from small island nations affected by rising sea levels, addressing protests outside the summit calling for stronger climate justice measures, and covering a controversial speech by a major oil industry representative:",0.8629158,0.93757135,0.96257466,0.95971733,0.8410291,0.84296125,0.8573471
"Write a 500-word news article about a global climate summit where world leaders are discussing strategies to combat climate change, with a focus on renewable energy investments and carbon reduction targets, highlighting a groundbreaking agreement between the US and China, featuring perspectives from small island nations affected by rising sea levels, addressing protests outside the summit calling for stronger climate justice measures, covering a controversial speech by a major oil industry representative, analyzing the summit's key outcomes and challenges, and placing it in the broader context of international efforts to achieve net-zero emissions by 2050:",0.8695404,0.95180273,1.0000001,0.97760993,0.8456359,0.8273553,0.838817
